iter	Passed	Remaining
0	50	5030
1	55	2699
2	59	1928
3	63	1517
4	66	1270
5	70	1107
6	73	982
7	76	883
8	80	809
9	82	745
10	86	699
11	89	657
12	97	654
13	101	622
14	104	593
15	107	565
16	110	541
17	114	521
18	118	504
19	122	488
20	125	472
21	128	456
22	132	442
23	136	433
24	140	421
25	145	412
26	148	401
27	152	392
28	156	382
29	159	371
30	164	365
31	167	356
32	170	346
33	174	338
34	180	334
35	185	330
36	189	322
37	193	315
38	202	316
39	205	308
40	209	300
41	212	293
42	216	286
43	219	279
44	223	273
45	228	267
46	231	261
47	234	254
48	238	248
49	241	241
50	246	236
51	249	230
52	253	224
53	259	221
54	263	215
55	267	210
56	270	204
57	274	198
58	277	192
59	280	187
60	283	181
61	286	175
62	293	172
63	297	167
64	300	162
65	306	157
66	309	152
67	312	147
68	315	141
69	318	136
70	321	131
71	324	126
72	330	122
73	333	117
74	337	112
75	343	108
76	346	103
77	350	98
78	354	94
79	358	89
80	361	84
81	367	80
82	370	75
83	375	71
84	378	66
85	382	62
86	385	57
87	388	52
88	391	48
89	395	43
90	398	39
91	402	34
92	407	30
93	410	26
94	415	21
95	419	17
96	422	13
97	425	8
98	430	4
99	433	0
