online_order,book_table,rate,votes,location,rest_type,approx_cost,type,city
1,1,4.1,775,1,24,800,0,1
1,0,4.1,787,1,24,800,0,1
1,0,3.8,918,1,19,800,0,1
0,0,3.7,88,1,73,300,0,1
0,0,3.8,166,4,24,600,0,1
1,0,3.8,286,4,24,600,0,1
0,0,3.6,8,56,24,800,0,1
1,1,4.6,2556,1,26,600,1,1
1,0,4.0,324,1,16,700,1,1
1,0,4.2,504,1,16,550,1,1
1,0,4.1,402,1,16,500,1,1
1,1,4.2,150,1,16,600,1,1
1,1,4.2,164,1,16,500,1,1
0,0,4.0,424,1,16,450,1,1
1,0,3.8,918,1,19,800,1,1
1,0,3.8,90,1,16,650,1,1
1,0,3.9,133,1,16,800,1,1
1,0,3.8,144,1,16,700,1,1
0,0,3.9,93,1,16,300,1,1
1,0,3.1,13,1,16,400,1,1
1,0,3.0,62,1,16,400,1,1
1,0,3.7,180,1,16,500,1,1
0,0,3.6,28,1,16,900,1,1
1,0,3.6,62,1,76,600,1,1
0,0,3.7,31,1,16,300,1,1
0,0,3.2,11,1,16,600,1,1
1,0,3.8,75,1,23,200,1,1
0,0,3.3,4,1,16,500,1,1
0,0,3.3,23,1,16,550,1,1
0,0,3.8,148,4,26,550,1,1
1,0,4.0,219,4,16,600,1,1
1,0,2.8,506,1,73,500,2,1
1,0,3.9,35,1,36,500,2,1
1,0,3.9,172,1,36,750,2,1
1,0,4.2,415,1,73,500,2,1
1,0,3.9,230,1,36,650,2,1
1,0,2.8,91,1,73,400,2,1
1,0,4.2,1647,1,24,600,2,1
1,0,4.4,3300,31,24,750,2,1
1,0,4.0,17,1,73,150,2,1
1,0,3.8,133,4,73,200,2,1
0,0,3.9,28,1,62,300,2,1
1,0,3.9,286,1,73,500,2,1
1,0,3.9,540,1,73,800,2,1
1,1,4.6,2556,1,26,600,2,1
0,0,3.8,36,1,36,400,2,1
1,0,3.6,244,48,73,300,2,1
1,0,4.0,804,48,24,450,2,1
1,0,3.7,679,67,24,850,2,1
1,0,3.1,245,48,73,300,2,1
0,0,3.7,21,1,73,450,2,1
1,0,4.1,28,86,73,150,2,1
0,0,4.3,345,1,37,400,2,1
1,0,4.0,618,31,24,750,2,1
0,0,4.0,1047,1,73,450,2,1
1,0,3.9,627,1,36,450,2,1
1,0,3.8,104,1,73,300,2,1
1,1,4.2,354,1,24,800,2,1
0,0,3.6,55,1,73,200,2,1
1,0,3.7,17,1,37,400,2,1
0,0,4.2,244,1,24,800,2,1
1,1,3.6,163,48,24,800,2,1
1,0,3.8,58,4,73,150,2,1
0,1,4.0,808,1,24,850,2,1
0,0,3.7,78,1,3,150,2,1
1,0,4.1,1720,4,73,400,2,1
1,0,3.6,34,31,73,100,2,1
