iter	RMSE
0	0.3757098389
1	0.3468771685
2	0.3343405169
3	0.3258143605
4	0.3218853272
5	0.3194044434
6	0.316500884
7	0.3147380319
8	0.313564032
9	0.3129503049
10	0.3112726806
11	0.3101553094
12	0.3091466911
13	0.3082521398
14	0.3077015265
15	0.3071978887
16	0.3065470222
17	0.3056751887
18	0.3053966595
19	0.3043081574
20	0.3037013436
21	0.3032918665
22	0.3029288083
23	0.3023833575
24	0.3014764989
25	0.300981173
26	0.3006907063
27	0.300162242
28	0.298553433
29	0.2982094895
30	0.2974754029
31	0.2964980386
32	0.2961460932
33	0.2956424648
34	0.2950986817
35	0.2946217143
36	0.2939878315
37	0.2934717786
38	0.2925854484
39	0.2922247769
40	0.2919782249
41	0.2916576363
42	0.2911749591
43	0.2906550136
44	0.2902261471
45	0.2896855075
46	0.2892457411
47	0.2886269509
48	0.2872180069
49	0.2869697494
50	0.2861506979
51	0.2858144
52	0.2852459246
53	0.2844541151
54	0.2839748796
55	0.2835361463
56	0.2832346394
57	0.2828285619
58	0.2822843604
59	0.2816902705
60	0.2813348295
61	0.2809741673
62	0.2806908325
63	0.280053482
64	0.2796633663
65	0.2792925716
66	0.2786823039
67	0.2785996019
68	0.2780882148
69	0.2777091093
70	0.2772007108
71	0.2769795548
72	0.2766438583
73	0.27641334
74	0.2762552283
75	0.2759677469
76	0.2755948361
77	0.2753451419
78	0.2749496572
79	0.2742756813
80	0.2739280397
81	0.2733153868
82	0.2729336811
83	0.2727956893
84	0.2723245808
85	0.2718377148
86	0.2714779447
87	0.271076885
88	0.2707457388
89	0.2705655621
90	0.2703085867
91	0.2701122461
92	0.2696789003
93	0.2692007812
94	0.2689064005
95	0.2685954055
96	0.2682461393
97	0.268010368
98	0.2675729341
99	0.2669777503
