iter	Passed	Remaining
0	60	5984
1	66	3264
2	73	2380
3	81	1946
4	87	1656
5	93	1463
6	99	1320
7	105	1210
8	111	1126
9	117	1057
10	123	997
11	128	940
12	134	899
13	140	860
14	145	823
15	150	791
16	155	761
17	160	730
18	164	700
19	167	671
20	171	644
21	174	619
22	178	598
23	187	594
24	194	584
25	199	569
26	204	552
27	208	535
28	211	518
29	215	502
30	218	486
31	221	470
32	227	461
33	237	461
34	243	452
35	248	441
36	252	429
37	256	418
38	259	406
39	262	394
40	265	382
41	271	375
42	277	367
43	283	360
44	288	352
45	292	343
46	295	333
47	300	325
48	303	316
49	306	306
50	310	297
51	317	292
52	325	288
53	330	281
54	335	274
55	339	266
56	343	259
57	348	252
58	352	245
59	364	242
60	372	237
61	377	231
62	382	224
63	386	217
64	390	210
65	393	202
66	399	196
67	407	191
68	417	187
69	423	181
70	429	175
71	433	168
72	437	161
73	441	154
74	444	148
75	449	141
76	462	138
77	468	132
78	473	125
79	478	119
80	482	113
81	486	106
82	489	100
83	497	94
84	506	89
85	512	83
86	517	77
87	521	71
88	525	64
89	529	58
90	544	53
91	552	48
92	559	42
93	565	36
94	570	30
95	577	24
96	590	18
97	597	12
98	604	6
99	609	0
